	3D Point Head  			3D Point 117:LS			3D Point 117:LE			3D Point LWRIST			3D Point 117:RS			3D Point 117:RE			3D Point RWRIST			3D Point LHIP  			3D Point RHIP  			3D Point 117:LK			3D Point 117:LA			3D Point 117:RK			3D Point 117:RA		
Frame	x	y	z	x	y	z	x	y	z	x	y	z	x	y	z	x	y	z	x	y	z	x	y	z	x	y	z	x	y	z	x	y	z	x	y	z	x	y	z
1	0,735990	155,358472	3,791697	21,151897	133,208813	4,079757	27,775327	100,062830	3,406203	25,952823	75,676257	9,506178	-18,955911	134,532092	7,878751	-28,933057	101,103949	13,845583	-23,941695	80,126605	27,925082	8,831197	88,747711	6,504788	-8,716586	88,719684	6,566295	12,728178	40,203482	28,609048	9,365421	-2,711470	31,970175	-13,896843	37,346936	-5,652561	-9,365421	2,711470	-31,970175
2	1,098604	155,611536	5,771342	21,393329	133,416528	6,076307	27,875366	100,255182	5,520959	26,065704	75,864203	11,499915	-18,680489	134,993420	9,864956	-28,629703	101,466614	15,369547	-23,642059	80,252948	29,083334	8,954779	89,094586	8,838356	-8,550228	88,927002	8,788046	12,772964	39,805609	29,948682	9,277605	-2,648778	32,451093	-14,269392	37,214090	-2,479898	-9,645817	3,774661	-30,394138
3	1,454487	155,962927	7,867989	21,624162	133,655078	8,047344	27,986398	100,479291	7,649141	26,165836	76,095355	13,573692	-18,403889	135,484106	11,835236	-28,336368	101,852185	16,835146	-23,347014	80,435492	30,198184	9,084079	89,644800	11,488670	-8,357836	89,162195	10,928302	12,707456	40,019037	32,101544	9,166315	-2,642709	32,546448	-14,659749	36,961362	0,994453	-10,031462	4,880648	-28,383157
4	1,806736	156,215820	9,802900	21,837465	133,900659	10,018370	28,153674	100,726672	9,754973	26,248828	76,343280	15,690463	-18,153276	135,964905	13,811945	-28,073941	102,233734	18,211131	-23,055542	80,636511	31,305930	9,260155	89,938556	13,646170	-8,204636	89,345734	12,948555	12,724441	40,018417	33,558911	9,078064	-2,609402	32,627448	-14,946970	36,555383	4,736728	-10,429368	6,189787	-26,225449
5	2,133620	156,480029	11,720905	22,040897	134,129053	11,980331	28,353711	100,955231	11,872485	26,303497	76,641180	17,992728	-17,908241	136,377527	15,737111	-27,855972	102,560620	19,545796	-22,779424	80,820026	32,431891	9,377940	90,224634	15,797740	-8,072483	89,506415	14,850783	12,846861	39,991260	34,738068	9,127144	-2,656535	32,643564	-15,132297	36,105423	8,665659	-10,783991	7,717554	-23,760063
6	2,443515	156,759302	13,627635	22,234030	134,351367	13,997815	28,578226	101,170825	14,007185	26,340631	76,907288	20,301219	-17,729141	136,730188	17,635941	-27,688885	102,830005	20,895828	-22,511943	80,967523	33,565002	9,496138	90,518365	17,871434	-7,940423	89,668463	16,647038	12,998422	39,867844	35,691138	9,132124	-2,654160	32,618518	-15,390837	35,885886	12,798473	-11,129265	9,112757	-20,739493
7	2,715166	157,027002	15,524715	22,401378	134,565796	16,022847	28,814334	101,389337	16,158008	26,356006	77,192432	22,647723	-17,622656	137,045264	19,410870	-27,541153	103,053955	22,278532	-22,262619	81,076526	34,714474	9,623444	90,811078	19,821263	-7,814587	89,878729	18,411707	13,127066	39,770560	36,526324	9,111277	-2,733754	32,707291	-15,557001	35,857797	16,844698	-11,414106	10,391965	-17,373958
8	2,961322	157,300513	17,433838	22,535283	134,779846	18,103052	29,042258	101,624670	18,367326	26,337497	77,512415	25,098412	-17,550456	137,308679	21,086139	-27,405383	103,263586	23,673335	-22,063330	81,170105	35,873865	9,763885	91,111078	21,677385	-7,664583	90,137659	20,137291	13,191440	39,671600	37,153625	9,123769	-2,729594	32,690833	-15,755315	36,101758	20,885387	-11,615547	11,540816	-13,883334
9	3,169103	157,580579	19,314308	22,648669	135,024402	20,217929	29,252475	101,874854	20,621484	26,332172	77,784680	27,424442	-17,523792	137,572510	22,561081	-27,264127	103,459436	25,042928	-21,907889	81,262518	37,054837	9,909176	91,398785	23,459134	-7,518609	90,422955	21,904488	13,213393	39,706604	37,940411	9,110079	-2,744582	32,706287	-15,923125	36,501828	24,837570	-11,723836	12,504460	-10,274780
10	3,337137	157,860156	21,190164	22,713916	135,307776	22,361461	29,442355	102,163177	22,920346	26,286371	78,132959	29,864056	-17,517770	137,847742	24,106935	-27,117819	103,687122	26,392844	-21,752905	81,372559	38,184351	10,064345	91,664655	25,170045	-7,383466	90,726025	23,663124	13,260692	39,580609	38,416498	9,104213	-2,736711	32,696579	-16,080724	37,083844	28,793921	-11,752399	13,201601	-6,339547
11	3,465080	158,139148	23,051338	22,749297	135,600427	24,512723	29,604855	102,499060	25,258774	26,203934	78,535632	32,381744	-17,504315	138,113550	25,566112	-26,986020	103,899890	27,655215	-21,666766	81,514948	39,308588	10,205172	91,897943	26,833331	-7,249236	91,022815	25,397697	13,312477	39,588879	39,013766	9,113826	-2,732951	32,688126	-16,140970	37,729843	32,624475	-11,764507	13,600223	-2,256058
12	3,562491	158,390173	24,895374	22,766061	135,914893	26,636475	29,717871	102,824170	27,664163	26,120944	78,904169	34,867709	-17,483272	138,367676	27,010907	-26,856177	104,119116	28,892868	-21,596133	81,666284	40,421564	10,332397	92,110577	28,494318	-7,131750	91,325787	27,123209	13,404826	39,479678	39,382324	9,121839	-2,732068	32,690744	-16,098344	38,384134	36,345465	-11,751994	13,692418	1,994226
13	3,624307	158,622974	26,730014	22,757040	136,252539	28,709952	29,793466	103,151587	30,067865	26,007971	79,446094	37,627454	-17,466800	138,598438	28,458691	-26,755237	104,303833	30,053128	-21,559813	81,811121	41,518066	10,442075	92,309540	30,153201	-7,015984	91,588910	28,815012	13,469278	39,497708	39,918100	9,128208	-2,720909	32,695306	-16,081633	39,119998	40,047516	-11,760414	13,395572	6,381418
