	3D Point Head  			3D Point 117:LS			3D Point 117:LE			3D Point LWRIST			3D Point 117:RS			3D Point 117:RE			3D Point RWRIST			3D Point LHIP  			3D Point RHIP  			3D Point 117:LK			3D Point 117:LA			3D Point 117:RK			3D Point 117:RA		
Frame	x	y	z	x	y	z	x	y	z	x	y	z	x	y	z	x	y	z	x	y	z	x	y	z	x	y	z	x	y	z	x	y	z	x	y	z	x	y	z
1	1,405573	155,029089	4,345596	21,669753	132,804797	4,759002	28,108554	99,633630	4,397834	26,290399	75,271722	10,473049	-18,403418	134,456750	8,444481	-28,366336	100,929565	13,937062	-23,420035	79,726746	27,678671	9,195821	88,583514	7,856197	-8,303493	88,333008	7,630291	12,908514	39,325888	29,141534	9,427175	-3,219255	31,262436	-14,085257	36,431415	-3,156110	-9,427175	3,219255	-31,262436
2	1,755688	155,363220	6,397754	21,887820	133,052612	6,735684	28,244882	99,880060	6,530196	26,371857	75,533441	12,564996	-18,152263	134,969336	10,413557	-28,081308	101,328558	15,384192	-23,135490	79,920764	28,789319	9,334956	89,074017	10,365257	-8,118972	88,564648	9,746767	12,856841	39,449203	31,050867	9,236865	-3,200127	31,298581	-14,508394	36,183917	0,420048	-9,835609	4,374953	-29,206769
3	2,090398	155,614941	8,323378	22,094385	133,302405	8,706165	28,400232	100,130780	8,650046	26,466214	75,776068	14,687311	-17,889934	135,434338	12,377819	-27,832480	101,697479	16,756390	-22,844785	80,118994	29,891196	9,485457	89,376978	12,539107	-7,978307	88,747552	11,743886	12,896776	39,472409	32,464551	9,245019	-3,184083	31,388461	-14,777216	35,763409	4,235281	-10,232187	5,759290	-27,013599
4	2,413646	155,895996	10,249424	22,281721	133,540637	10,684421	28,601184	100,357568	10,773434	26,491772	76,105377	17,044994	-17,672508	135,838928	14,297914	-27,639017	102,015814	18,088467	-22,544095	80,292523	31,019644	9,604844	89,670197	14,669981	-7,849913	88,913953	13,607631	13,022664	39,406729	33,540399	9,279469	-3,215937	31,379495	-14,986809	35,363123	8,218467	-10,580304	7,279089	-24,401686
5	2,702305	156,181384	12,156304	22,467387	133,776575	12,694132	28,824564	100,586206	12,906529	26,531335	76,366187	19,303322	-17,520580	136,189319	16,160927	-27,474576	102,282446	19,447028	-22,295526	80,438538	32,144394	9,718819	89,978296	16,699339	-7,721787	89,080389	15,431320	13,160512	39,327435	34,533917	9,296220	-3,212177	31,347577	-15,210440	35,203445	12,320252	-10,924085	8,654078	-21,278494
6	2,969006	156,463513	14,056474	22,629507	133,981226	14,737369	29,059286	100,817816	15,067119	26,527795	76,665601	21,699803	-17,417670	136,481348	17,911717	-27,329141	102,507312	20,826263	-22,068300	80,543927	33,307037	9,833401	90,273975	18,652028	-7,593008	89,318781	17,147823	13,289255	39,201547	35,265973	9,265127	-3,298503	31,443124	-15,427448	35,273172	16,373700	-11,202371	9,917966	-17,875130
7	3,195123	156,751733	15,950792	22,758585	134,229907	16,812920	29,274051	101,070599	17,273869	26,505347	76,990613	24,135846	-17,373286	136,765747	19,572427	-27,194873	102,704663	22,205737	-21,883469	80,637457	34,467181	9,975977	90,579498	20,466309	-7,451186	89,594373	18,867683	13,349635	39,116284	35,903119	9,270483	-3,291048	31,430954	-15,624199	35,569583	20,385162	-11,390724	11,056532	-14,365231
8	3,390527	157,035071	17,831139	22,839093	134,484058	18,937373	29,483289	101,345880	19,534775	26,483911	77,271027	26,448291	-17,353226	137,041431	21,041243	-27,054272	102,920178	23,580431	-21,730769	80,745587	35,638458	10,122491	90,874756	22,225525	-7,307748	89,888116	20,647751	13,359309	39,153671	36,669620	9,259235	-3,296603	31,433725	-15,793068	36,034192	24,332500	-11,493832	11,963638	-10,690215
9	3,548117	157,319446	19,702266	22,895844	134,770325	21,089043	29,659177	101,630023	21,871106	26,414859	77,655066	28,937723	-17,338879	137,315405	22,559508	-26,923257	103,145215	24,908389	-21,601988	80,872491	36,789197	10,259741	91,131482	23,926128	-7,181975	90,203180	22,391371	13,404768	39,028766	37,121124	9,254979	-3,298185	31,434888	-15,966217	36,683655	28,283221	-11,507619	12,608829	-6,722383
10	3,655775	157,598840	21,557359	22,927710	135,083984	23,235864	29,792346	101,976709	24,204544	26,336182	78,054474	31,436353	-17,332671	137,592297	24,002744	-26,796497	103,378491	26,184488	-21,511238	81,024731	37,900009	10,397253	91,374878	25,594446	-7,057904	90,524457	24,120477	13,472987	39,026212	37,691891	9,264653	-3,296598	31,428052	-16,002333	37,340305	32,075305	-11,515044	12,949669	-2,587216
11	3,746414	157,857117	23,398412	22,923305	135,424609	25,349509	29,900974	102,340558	26,619943	26,208698	78,586633	34,139993	-17,318201	137,840381	25,441438	-26,679166	103,591833	27,379544	-21,455991	81,181323	39,002695	10,519002	91,595825	27,253046	-6,934370	90,804242	25,842142	13,556343	38,951740	38,085913	9,275133	-3,287534	31,425763	-15,985667	38,039520	35,784442	-11,531503	12,960477	1,703493
12	3,791978	158,098206	25,227621	22,901334	135,750317	27,422305	29,957175	102,677551	29,029800	26,117001	79,020795	36,716946	-17,302777	138,060999	26,888449	-26,584085	103,777222	28,529077	-21,425710	81,320233	40,088165	10,619485	91,778180	28,899741	-6,842661	91,078082	27,535272	13,618629	38,966693	38,594022	9,284415	-3,279367	31,430103	-15,929361	38,765363	39,423450	-11,540912	12,606178	6,109167
13	3,815660	158,289661	27,056741	22,873361	136,075269	29,399933	30,081750	103,039478	31,416321	25,952814	79,467053	39,357578	-17,300143	138,238904	28,353796	-26,506485	103,913708	29,633249	-21,445201	81,417657	41,197357	10,699010	91,928326	30,557809	-6,755803	91,292395	29,218539	13,722261	38,851520	38,839374	9,293707	-3,267065	31,431720	-15,950943	39,543094	42,947766	-11,481676	11,949353	10,640545
14	3,814231	158,447559	28,869254	22,848190	136,352393	31,300043	30,094827	103,363428	33,838101	25,756339	79,906335	42,048047	-17,298822	138,334656	29,829352	-26,445911	103,982520	30,725629	-21,503703	81,477026	42,329449	10,757259	92,064160	32,186581	-6,685976	91,464020	30,876270	13,813638	38,838129	39,151465	9,290778	-3,256205	31,430649	-15,904121	40,272049	46,277231	-11,380201	11,004852	15,384842
15	3,788103	158,562061	30,681354	22,831906	136,590186	33,136755	30,094897	103,625708	36,264847	25,547151	80,323810	44,774084	-17,299719	138,378882	31,291306	-26,399982	103,995728	31,845493	-21,629094	81,500867	43,524133	10,791844	92,141516	33,816931	-6,654474	91,593982	32,553052	13,910031	38,840216	39,484222	9,279675	-3,231628	31,433130	-15,740463	40,916037	49,441803	-11,267894	9,756703	20,313107
16	3,744196	158,630029	32,489624	22,797585	136,778821	34,949234	30,095193	103,866052	38,676816	25,313312	80,726703	47,501300	-17,322719	138,362231	32,760260	-26,355478	103,962622	32,949591	-21,791835	81,455225	44,734961	10,795826	92,183777	35,436722	-6,643050	91,668964	34,232397	13,993707	38,821072	39,798068	9,284776	-3,202041	31,429654	-15,595909	41,490561	52,410883	-11,155827	8,251397	25,468445
17	3,682621	158,648523	34,281903	22,772086	136,899646	36,738110	30,068332	104,045386	41,082422	25,059731	81,111139	50,259317	-17,343848	138,288208	34,236691	-26,322290	103,882275	34,131238	-21,954219	81,405859	46,113586	10,767909	92,167639	37,072037	-6,665443	91,711841	35,908054	14,073183	38,722440	40,010623	9,309162	-3,174375	31,429639	-15,444765	41,969897	55,187152	-11,019763	6,665073	30,735187
18	3,595429	158,622253	36,110883	22,743495	136,962146	38,524557	30,050162	104,188599	43,437866	24,793858	81,454803	53,005231	-17,368796	138,158167	35,711081	-26,305423	103,753796	35,341190	-22,156889	81,297357	47,441684	10,716540	92,124298	38,687753	-6,702422	91,706317	37,601834	14,112611	38,730597	40,454483	9,276887	-3,143403	31,453610	-15,286395	42,304477	57,722900	-10,976923	4,994713	36,232339
19	3,488850	158,540527	37,920709	22,698883	136,971716	40,320642	30,021252	104,264197	45,769635	24,516945	81,755945	55,704797	-17,403325	137,994263	37,196680	-26,301279	103,594751	36,632361	-22,339029	81,148810	48,816168	10,627004	92,065540	40,416843	-6,758521	91,660614	39,295670	14,161627	38,586682	40,668918	9,255382	-3,095848	31,470825	-15,122253	42,508499	60,061798	-10,930752	3,283340	41,930847
20	3,364652	158,402380	39,708249	22,632257	136,925305	42,140240	29,990817	104,314856	48,076910	24,214532	82,026880	58,372369	-17,446620	137,804456	38,694189	-26,307562	103,401843	37,959085	-22,486142	80,964148	50,230508	10,544537	91,916565	42,082651	-6,823733	91,549493	41,023157	14,160300	38,636420	41,276733	9,232978	-3,051411	31,494653	-14,935446	42,542627	62,141968	-10,935588	1,702401	47,700208
21	3,218378	158,223657	41,525534	22,561221	136,831226	43,971030	29,946396	104,299194	50,344977	23,832281	82,297919	61,094690	-17,489473	137,565674	40,231454	-26,323358	103,162378	39,360663	-22,624605	80,735101	51,683936	10,466679	91,716376	43,764853	-6,912591	91,376862	42,742868	14,169421	38,499954	41,679974	9,220085	-3,001519	31,518365	-14,708855	42,391846	64,029590	-11,033865	0,310899	53,514313
22	3,064161	157,988965	43,337152	22,469205	136,677942	45,837051	29,886047	104,220752	52,568713	23,527394	82,468573	63,672797	-17,541774	137,301111	41,800403	-26,368658	102,908960	40,846228	-22,745580	80,468146	53,167139	10,362930	91,468225	45,464621	-7,007053	91,153247	44,484195	14,172324	38,410199	42,204968	9,192117	-2,945950	31,538022	-14,453784	42,102405	65,682458	-11,111173	-0,838609	59,435034
23	2,888162	157,723035	45,156155	22,360231	136,468433	47,656271	29,821457	104,080164	54,742249	23,178186	82,580328	66,204187	-17,623280	137,014868	43,411810	-26,399622	102,630750	42,389700	-22,863701	80,128479	54,658142	10,253830	91,194159	47,166132	-7,129649	90,896594	46,290762	14,183183	38,339618	42,821899	9,132692	-2,892233	31,586096	-14,185110	41,666217	67,176910	-11,210471	-1,616407	65,314722
24	2,700254	157,430420	46,977939	22,249327	136,208997	49,500983	29,728308	103,886755	56,909155	22,855292	82,613452	68,673859	-17,724916	136,687476	45,074133	-26,435440	102,285834	44,004501	-22,995631	79,735913	56,166791	10,131615	90,898914	48,885254	-7,259096	90,584052	48,105414	14,195799	38,245538	43,511871	9,096774	-2,796762	31,616425	-13,943594	41,141165	68,601099	-11,337737	-1,938321	70,988483
25	2,504187	157,133264	48,797174	22,126521	135,908801	51,329968	29,606030	103,642322	59,043988	22,548085	82,545758	71,027301	-17,837910	136,321985	46,784085	-26,481470	101,929388	45,694141	-23,128647	79,282806	57,698486	10,010947	90,615881	50,636942	-7,372752	90,271832	49,944339	14,177545	38,170645	44,364203	9,020536	-2,690635	31,668716	-13,808168	40,619415	70,076654	-11,375555	-1,930997	76,348462
26	2,289696	156,819153	50,625610	21,990935	135,579688	53,152106	29,454468	103,370935	61,160547	22,194225	82,476636	73,375317	-18,000359	135,965015	48,558276	-26,529602	101,553943	47,448120	-23,272687	78,784869	59,237018	9,911288	90,312109	52,377051	-7,474748	89,956995	51,818842	14,135023	38,043500	45,283328	8,933556	-2,541264	31,737848	-13,342555	39,989383	71,537000	-11,279561	-1,611727	81,217804
27	2,064970	156,524463	52,456592	21,837611	135,241626	54,980695	29,276712	103,082874	63,244275	21,815871	82,399402	75,701819	-18,174298	135,607275	50,390927	-26,599100	101,167108	49,277338	-23,427045	78,263068	60,769916	9,844759	90,007672	54,178925	-7,541046	89,638397	53,697266	14,061159	37,936343	46,355777	8,842793	-2,353755	31,848038	-13,272499	39,611887	73,087170	-11,180963	-1,246048	85,292535
28	1,827362	156,247668	54,289771	21,671712	134,918323	56,790448	29,042532	102,797803	65,299420	21,468562	82,238934	77,872394	-18,384862	135,277112	52,281250	-26,669824	100,813586	51,181699	-23,565436	77,740710	62,343018	9,725759	89,685919	56,037518	-7,660682	89,370819	55,579297	13,996028	37,804367	47,518546	8,794756	-2,114396	31,995816	-13,123033	39,364249	74,829913	-11,112085	-0,955346	88,742883
29	1,575199	155,990430	56,117963	21,485512	134,662524	58,635895	28,753470	102,539917	67,303961	21,105127	82,074927	79,983881	-18,592673	134,968884	54,208551	-26,734689	100,487469	53,119897	-23,766568	77,229730	63,898962	9,566321	89,414685	57,977893	-7,809644	89,140723	57,483569	13,937904	37,760428	48,919656	8,781547	-1,774909	32,165472	-13,016104	39,170718	76,807684	-10,935538	-0,902031	91,229608
30	1,303588	155,766028	57,948285	21,286975	134,429102	60,450574	28,423386	102,310925	69,242084	20,745284	81,905243	82,011346	-18,820107	134,701917	56,161066	-26,825632	100,207275	55,140057	-23,997444	76,790503	65,502380	9,419315	89,181812	59,988654	-7,957173	88,919977	59,434869	13,888393	37,642917	50,337634	8,850072	-1,409369	32,397531	-12,964160	39,077832	78,990814	-10,629456	-1,312624	92,762933
31	1,015378	155,569495	59,778912	21,055392	134,250208	62,326581	28,052158	102,129150	71,107904	20,385269	81,721082	83,934003	-19,072411	134,490466	58,137665	-26,902362	99,971118	57,158899	-24,220485	76,418781	67,173523	9,230200	88,965753	62,085590	-8,140285	88,724835	61,490918	13,845558	37,601672	51,989258	8,973595	-0,923282	32,676813	-12,876701	39,006329	81,310474	-10,375637	-1,936352	93,557050
32	0,729923	155,388074	61,589746	20,804807	134,096265	64,164929	27,666867	101,924823	72,969922	20,031334	81,544891	85,790155	-19,324738	134,303638	60,077960	-27,012750	99,772217	59,204803	-24,428204	76,097766	68,884161	9,016499	88,783063	64,292450	-8,328421	88,551636	63,653027	13,818686	37,730881	53,966766	9,142596	-0,338080	33,005231	-12,828333	38,872589	83,623682	-10,174690	-2,694543	93,896667
33	0,418498	155,232446	63,401331	20,519276	133,978540	66,057544	27,278040	101,756189	74,732294	19,673961	81,340631	87,530969	-19,595560	134,144775	61,986786	-27,157043	99,597644	61,237079	-24,623994	75,834900	70,714435	8,809505	88,626721	66,549451	-8,549094	88,400885	65,916559	13,848401	37,664319	55,724646	9,310280	0,289103	33,413257	-12,840723	38,629828	85,735181	-9,873640	-3,133531	94,223627
34	0,103741	155,249243	65,211890	20,244383	133,910461	67,913458	26,873141	101,610693	76,471729	19,325117	81,127655	89,217365	-19,894781	134,028894	63,825323	-27,348706	99,457214	63,321295	-24,823607	75,625598	72,593439	8,632645	88,553217	68,862311	-8,745132	88,482751	68,194702	13,845888	37,625348	57,600311	9,531381	1,047888	33,978372	-13,017740	38,667538	87,553418	-10,006815	-2,675435	95,827264
35	-0,228354	155,362598	67,009412	20,006058	133,935559	69,790656	26,440839	101,516602	78,175293	18,994229	80,926093	90,773633	-20,211591	134,009302	65,600458	-27,534052	99,397565	65,399084	-25,038586	75,523816	74,524799	8,480929	88,658063	71,201569	-8,891970	88,784149	70,448572	13,873987	37,627469	59,695398	9,703558	1,926036	34,767889	-13,240994	39,079187	89,637653	-10,035229	-3,064686	96,564838
36	-0,566400	155,529626	68,805927	19,768636	134,089612	71,685962	25,979739	101,581726	79,839636	18,692468	80,806519	92,222150	-20,499083	134,086023	67,343433	-27,733948	99,488495	67,506573	-25,241635	75,575439	76,505670	8,311618	88,845074	73,563330	-9,034047	89,190057	72,653314	13,960068	37,618524	62,035815	9,833418	2,938400	35,731976	-13,142102	39,496606	92,046375	-9,829814	-2,812399	96,458429
