	3D Point 117:LA			3D Point 117:RA		
Frame	x	y	z	x	y	z
1	9,365421	-2,711470	31,970175	-9,365421	2,711470	-31,970175
2	9,277605	-2,648778	32,451093	-9,645817	3,774661	-30,394138
3	9,166315	-2,642709	32,546448	-10,031462	4,880648	-28,383157
4	9,078064	-2,609402	32,627448	-10,429368	6,189787	-26,225449
5	9,127144	-2,656535	32,643564	-10,783991	7,717554	-23,760063
6	9,132124	-2,654160	32,618518	-11,129265	9,112757	-20,739493
7	9,111277	-2,733754	32,707291	-11,414106	10,391965	-17,373958
8	9,123769	-2,729594	32,690833	-11,615547	11,540816	-13,883334
9	9,110079	-2,744582	32,706287	-11,723836	12,504460	-10,274780
10	9,104213	-2,736711	32,696579	-11,752399	13,201601	-6,339547
11	9,113826	-2,732951	32,688126	-11,764507	13,600223	-2,256058
12	9,121839	-2,732068	32,690744	-11,751994	13,692418	1,994226
13	9,128208	-2,720909	32,695306	-11,760414	13,395572	6,381418
14	9,136770	-2,711998	32,697446	-11,706195	12,799378	10,868822
15	9,137425	-2,698031	32,694193	-11,614342	11,897643	15,560300
16	9,123491	-2,674822	32,695642	-11,484930	10,703370	20,437790
17	9,156863	-2,649887	32,681699	-11,352146	9,231018	25,543895
18	9,157912	-2,624504	32,691229	-11,211844	7,651805	30,761572
19	9,151634	-2,591583	32,706696	-11,141776	5,977329	36,190948
20	9,105910	-2,552814	32,734525	-11,029255	4,234373	41,805222
21	9,084437	-2,505042	32,752832	-11,028992	2,600177	47,566180
22	9,058044	-2,461238	32,780978	-11,077309	1,085407	53,436481
23	9,049176	-2,401834	32,798248	-11,169112	-0,134170	59,268512
24	8,993464	-2,350281	32,847137	-11,273750	-1,013588	65,150024
25	8,953648	-2,266880	32,872586	-11,393904	-1,486787	70,897345
26	8,892591	-2,154086	32,900241	-11,427022	-1,584172	76,377045
27	8,792995	-2,017343	32,991089	-11,336508	-1,354500	81,388708
28	8,700407	-1,843208	33,091428	-11,207124	-1,015929	85,655627
29	8,640675	-1,613026	33,202850	-11,145418	-0,708212	89,303882
30	8,638874	-1,297759	33,366415	-10,990703	-0,564120	92,013062
31	8,680508	-0,948801	33,614221	-10,701099	-0,875536	93,774957
32	8,799142	-0,512907	33,883127	-10,429588	-1,458383	94,737885
33	8,953467	0,073651	34,198157	-10,223357	-2,196122	95,158832
34	9,117684	0,665471	34,581305	-9,937595	-2,873113	95,369574
35	9,331606	1,391276	35,098764	-9,972591	-2,419383	96,720264
36	9,515890	2,252340	35,829623	-10,043299	-2,702970	97,862976
37	9,650135	3,225418	36,750278	-9,861702	-2,631108	97,743512
