	3D Point 117:LA			3D Point 117:RA		
Frame	x	y	z	x	y	z
1	9,427175	-3,219255	31,262436	-9,427175	3,219255	-31,262436
2	9,236865	-3,200127	31,298581	-9,835609	4,374953	-29,206769
3	9,245019	-3,184083	31,388461	-10,232187	5,759290	-27,013599
4	9,279469	-3,215937	31,379495	-10,580304	7,279089	-24,401686
5	9,296220	-3,212177	31,347577	-10,924085	8,654078	-21,278494
6	9,265127	-3,298503	31,443124	-11,202371	9,917966	-17,875130
7	9,270483	-3,291048	31,430954	-11,390724	11,056532	-14,365231
8	9,259235	-3,296603	31,433725	-11,493832	11,963638	-10,690215
9	9,254979	-3,298185	31,434888	-11,507619	12,608829	-6,722383
10	9,264653	-3,296598	31,428052	-11,515044	12,949669	-2,587216
11	9,275133	-3,287534	31,425763	-11,531503	12,960477	1,703493
12	9,284415	-3,279367	31,430103	-11,540912	12,606178	6,109167
13	9,293707	-3,267065	31,431720	-11,481676	11,949353	10,640545
14	9,290778	-3,256205	31,430649	-11,380201	11,004852	15,384842
15	9,279675	-3,231628	31,433130	-11,267894	9,756703	20,313107
16	9,284776	-3,202041	31,429654	-11,155827	8,251397	25,468445
17	9,309162	-3,174375	31,429639	-11,019763	6,665073	30,735187
18	9,276887	-3,143403	31,453610	-10,976923	4,994713	36,232339
19	9,255382	-3,095848	31,470825	-10,930752	3,283340	41,930847
20	9,232978	-3,051411	31,494653	-10,935588	1,702401	47,700208
21	9,220085	-3,001519	31,518365	-11,033865	0,310899	53,514313
22	9,192117	-2,945950	31,538022	-11,111173	-0,838609	59,435034
23	9,132692	-2,892233	31,586096	-11,210471	-1,616407	65,314722
24	9,096774	-2,796762	31,616425	-11,337737	-1,938321	70,988483
25	9,020536	-2,690635	31,668716	-11,375555	-1,930997	76,348462
26	8,933556	-2,541264	31,737848	-11,279561	-1,611727	81,217804
27	8,842793	-2,353755	31,848038	-11,180963	-1,246048	85,292535
28	8,794756	-2,114396	31,995816	-11,112085	-0,955346	88,742883
29	8,781547	-1,774909	32,165472	-10,935538	-0,902031	91,229608
30	8,850072	-1,409369	32,397531	-10,629456	-1,312624	92,762933
31	8,973595	-0,923282	32,676813	-10,375637	-1,936352	93,557050
32	9,142596	-0,338080	33,005231	-10,174690	-2,694543	93,896667
33	9,310280	0,289103	33,413257	-9,873640	-3,133531	94,223627
34	9,531381	1,047888	33,978372	-10,006815	-2,675435	95,827264
35	9,703558	1,926036	34,767889	-10,035229	-3,064686	96,564838
36	9,833418	2,938400	35,731976	-9,829814	-2,812399	96,458429
37	9,946830	4,052534	37,002609	-9,725330	-2,709667	96,849683
38	9,978175	5,203724	38,758124	-9,671403	-2,817092	96,970123
39	9,993626	6,358761	40,849518	-9,611443	-2,712980	96,958307
