	3D Point 117:LA			3D Point 117:RA		
Frame	x	y	z	x	y	z
1	9,492116	-3,789630	30,047568	-9,492116	3,789630	-30,047568
2	9,515275	-3,807656	30,125183	-9,864212	5,273442	-27,823987
3	9,543558	-3,816641	30,091653	-10,234457	6,755104	-25,048732
4	9,567487	-3,829961	30,092279	-10,572420	8,116119	-21,845827
5	9,540931	-3,895498	30,159073	-10,834188	9,377388	-18,420992
6	9,537867	-3,902293	30,164685	-11,033440	10,477293	-14,900798
7	9,531185	-3,893884	30,152591	-11,095992	11,347404	-11,117816
8	9,528017	-3,901193	30,161230	-11,136836	11,933083	-7,130849
9	9,537524	-3,898184	30,156427	-11,151905	12,223786	-2,946782
10	9,546591	-3,893369	30,157352	-11,182372	12,151024	1,384602
11	9,559371	-3,881049	30,155563	-11,190512	11,736892	5,812884
12	9,565622	-3,868357	30,156070	-11,125135	11,039606	10,392246
13	9,562305	-3,853143	30,149600	-11,030750	10,043171	15,188058
14	9,552324	-3,822277	30,150919	-10,929890	8,759863	20,181648
15	9,553204	-3,799055	30,159790	-10,842786	7,252897	25,372202
16	9,579945	-3,770514	30,157373	-10,743799	5,644875	30,730930
17	9,537818	-3,741791	30,187012	-10,707716	3,997275	36,256894
18	9,519250	-3,690327	30,199774	-10,686555	2,339167	41,994708
19	9,496137	-3,647748	30,232318	-10,714689	0,816260	47,787347
20	9,485916	-3,590808	30,247787	-10,850722	-0,501815	53,668262
21	9,459764	-3,537442	30,271094	-10,945446	-1,518311	59,555634
22	9,397515	-3,474437	30,316193	-11,108007	-2,156514	65,382721
23	9,347357	-3,379303	30,343478	-11,217516	-2,369987	71,025116
24	9,269193	-3,254089	30,414709	-11,233305	-2,245036	76,283020
25	9,179568	-3,098600	30,480542	-11,124816	-1,861689	80,954608
26	9,086217	-2,900069	30,598016	-11,060914	-1,511567	84,891241
27	9,056946	-2,634023	30,758380	-10,978493	-1,210676	88,119153
28	9,063311	-2,285397	30,926031	-10,759633	-1,275563	90,342615
29	9,138863	-1,880508	31,173981	-10,473389	-1,740582	91,669653
30	9,278896	-1,364073	31,460208	-10,241917	-2,402766	92,346161
31	9,438390	-0,813498	31,840228	-10,027193	-3,195419	92,586945
32	9,621388	-0,141144	32,256812	-9,831002	-3,284252	93,237030
33	9,844825	0,647427	32,888461	-9,944586	-3,019813	94,843317
