	3D Point Head  			3D Point 117:LS			3D Point 117:LE			3D Point LWRIST			3D Point 117:RS			3D Point 117:RE			3D Point RWRIST			3D Point LHIP  			3D Point RHIP  			3D Point 117:LK			3D Point 117:LA			3D Point 117:RK			3D Point 117:RA		
Frame	x	y	z	x	y	z	x	y	z	x	y	z	x	y	z	x	y	z	x	y	z	x	y	z	x	y	z	x	y	z	x	y	z	x	y	z	x	y	z
1	2,171970	154,699219	4,792500	22,268745	132,386987	5,312605	28,609653	99,219537	5,317857	26,722183	74,902191	11,469756	-17,761002	134,382410	8,862317	-27,699277	100,738977	13,824065	-22,781371	79,350635	27,278036	9,704052	88,436469	9,180676	-7,747577	87,896124	8,478580	13,126050	38,853497	29,946417	9,492116	-3,789630	30,047568	-14,228183	35,327841	-0,187964	-9,492116	3,789630	-30,047568
2	2,502221	154,961768	6,712972	22,470770	132,640039	7,265231	28,782565	99,476514	7,435455	26,785382	75,166614	13,624486	-17,518506	134,840625	10,805102	-27,479001	101,104712	15,185736	-22,499205	79,551666	28,383908	9,833017	88,736481	11,345701	-7,621383	88,087524	10,444759	13,167865	38,900977	31,327228	9,515275	-3,807656	30,125183	-14,462685	34,900800	3,659439	-9,864212	5,273442	-27,823987
3	2,809480	155,260254	8,637799	22,658292	132,889417	9,260872	28,983069	99,714850	9,555720	26,806699	75,510382	16,009982	-17,312338	135,241443	12,729003	-27,288272	101,414471	16,517184	-22,227452	79,734406	29,515283	9,945297	89,060889	13,440088	-7,499414	88,258856	12,273520	13,328046	38,764633	32,290070	9,543558	-3,816641	30,091653	-14,707222	34,577020	7,687945	-10,234457	6,755104	-25,048732
4	3,086055	155,547131	10,531494	22,826181	133,128638	11,286060	29,205396	99,949561	11,692709	26,835666	75,767493	18,270280	-17,177234	135,583044	14,558376	-27,143881	101,683936	17,887778	-21,979414	79,869049	30,651318	10,054388	89,372552	15,457436	-7,386060	88,439886	14,085355	13,455467	38,710873	33,280972	9,567487	-3,829961	30,092279	-14,939363	34,486792	11,780334	-10,572420	8,116119	-21,845827
5	3,334985	155,854248	12,444310	22,970216	133,363611	13,316048	29,425217	100,197235	13,873476	26,814737	76,099481	20,678918	-17,104054	135,879138	16,284404	-27,001257	101,884137	19,277245	-21,754857	79,973828	31,815918	10,169189	89,689526	17,364598	-7,254830	88,712335	15,788120	13,573755	38,577353	33,944241	9,540931	-3,895498	30,159073	-15,162387	34,662161	15,857433	-10,834188	9,377388	-18,420992
6	3,552415	156,138757	14,322034	23,084621	133,611230	15,422227	29,626505	100,456897	16,104759	26,782669	76,426428	23,071399	-17,056953	136,156299	17,895985	-26,868732	102,108716	20,646013	-21,585117	80,073425	32,973856	10,314631	89,997107	19,165720	-7,120720	88,996661	17,522523	13,603619	38,553998	34,626068	9,537867	-3,902293	30,164685	-15,397601	35,049173	19,872937	-11,033440	10,477293	-14,900798
7	3,731661	156,435046	16,203691	23,148651	133,892017	17,551515	29,819720	100,751862	18,368947	26,749454	76,749420	25,435379	-17,050090	136,440503	19,366197	-26,743466	102,331390	22,013646	-21,441713	80,193439	34,135782	10,456910	90,287585	20,903714	-6,982694	89,309491	19,288831	13,606580	38,566656	35,340714	9,531185	-3,893884	30,152591	-15,537126	35,531842	23,760068	-11,095992	11,347404	-11,117816
8	3,871912	156,726050	18,068500	23,203023	134,195557	19,699750	29,983676	101,086322	20,718723	26,663675	77,150470	27,943460	-17,052232	136,730273	20,868613	-26,608243	102,560791	23,332892	-21,326222	80,334363	35,276166	10,595451	90,539832	22,601837	-6,855078	89,635126	21,021788	13,676369	38,452451	35,785132	9,528017	-3,901193	30,161230	-15,691066	36,214490	27,682404	-11,136836	11,933083	-7,130849
9	3,971167	157,015820	19,924684	23,211531	134,529077	21,820532	30,112082	101,423248	23,055029	26,575589	77,544299	30,403574	-17,042993	137,005750	22,292052	-26,487735	102,795337	24,573380	-21,254843	80,494208	36,389200	10,705155	90,796295	24,272997	-6,738659	89,946899	22,767801	13,749469	38,411670	36,283783	9,537524	-3,898184	30,156427	-15,731474	36,913431	31,460397	-11,151905	12,223786	-2,946782
